"Nome do Posto",Bairro,Cidade,"Tipo de Combustível","Preço Médio (R$)","Quantidade de Amostras","Primeira Coleta","Última Coleta"
"Auto Posto Schueng LTDA","Boa Vista","São Mateus",Etanol,5.120,10,2026-01-02,2026-04-20
"Auto Posto Schueng LTDA","Boa Vista","São Mateus","Gasolina Aditivada",6.690,10,2026-01-02,2026-04-20
"Auto Posto Schueng LTDA","Boa Vista","São Mateus","Gasolina Comum",6.630,10,2026-01-02,2026-04-20
"Locvan Transporte e Turismo LTDA","Vila Nova","São Mateus","Diesel S-10",6.717,11,2026-01-02,2026-06-03
"Locvan Transporte e Turismo LTDA","Vila Nova","São Mateus",Etanol,5.258,11,2026-01-02,2026-06-03
"Locvan Transporte e Turismo LTDA","Vila Nova","São Mateus","Gasolina Aditivada",6.523,3,2026-01-02,2026-01-15
"Locvan Transporte e Turismo LTDA","Vila Nova","São Mateus","Gasolina Comum",6.681,11,2026-01-02,2026-06-03
"Macplan Auto Posto Sao Mateus LTDA",Sernamby,"São Mateus","Diesel S-10",6.823,6,2026-01-02,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA",Sernamby,"São Mateus",Etanol,5.323,6,2026-01-02,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA",Sernamby,"São Mateus","Gasolina Aditivada",6.690,6,2026-01-02,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA",Sernamby,"São Mateus","Gasolina Comum",6.757,6,2026-01-02,2026-06-30
"Posto Atual Sao Mateus LTDA",Sernamby,"São Mateus","Diesel S-10",6.230,6,2026-01-02,2026-06-16
"Posto Atual Sao Mateus LTDA",Sernamby,"São Mateus",Etanol,4.553,6,2026-01-02,2026-06-16
"Posto Atual Sao Mateus LTDA",Sernamby,"São Mateus","Gasolina Comum",6.260,6,2026-01-02,2026-06-16
"Posto Damiani LTDA",Sernamby,"São Mateus","Diesel Comum",6.904,7,2026-02-16,2026-06-16
"Posto Damiani LTDA",Sernamby,"São Mateus","Diesel S-10",7.004,7,2026-02-16,2026-06-16
"Posto Damiani LTDA",Sernamby,"São Mateus",Etanol,5.490,7,2026-02-16,2026-06-16
"Posto Damiani LTDA",Sernamby,"São Mateus","Gasolina Aditivada",6.847,7,2026-02-16,2026-06-16
"Posto Damiani LTDA",Sernamby,"São Mateus","Gasolina Comum",6.733,7,2026-02-16,2026-06-16
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Vila Nova","São Mateus","Diesel S-10",6.890,1,2026-05-28,2026-05-28
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Vila Nova","São Mateus",Etanol,4.847,14,2026-01-02,2026-06-03
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Vila Nova","São Mateus","Gasolina Comum",6.711,14,2026-01-02,2026-06-03
"Posto Sd LTDA","Guriri Norte","São Mateus","Diesel S-10",6.619,7,2026-01-06,2026-05-13
"Posto Sd LTDA","Guriri Norte","São Mateus","Gasolina Aditivada",6.847,7,2026-01-06,2026-05-13
"Posto Sd LTDA","Guriri Norte","São Mateus","Gasolina Comum",6.747,7,2026-01-06,2026-05-13
