"Nome do Posto",Endereço,Bairro,Cidade,Estado,"Tipo de Combustível","Valor do Combustível (R$)","Data da Coleta"
"Auto Posto Schueng LTDA","Av. Doutor Raimundo Guilherme Sobrinho, 176","Boa Vista","São Mateus",ES,Etanol,5.690,2026-04-20
"Auto Posto Schueng LTDA","Av. Doutor Raimundo Guilherme Sobrinho, 176","Boa Vista","São Mateus",ES,"Gasolina Aditivada",6.990,2026-04-20
"Auto Posto Schueng LTDA","Av. Doutor Raimundo Guilherme Sobrinho, 176","Boa Vista","São Mateus",ES,"Gasolina Comum",6.790,2026-04-20
"Locvan Transporte e Turismo LTDA","Rodovia Governador Mario Covas, 573","Vila Nova","São Mateus",ES,"Diesel S-10",7.190,2026-06-03
"Locvan Transporte e Turismo LTDA","Rodovia Governador Mario Covas, 573","Vila Nova","São Mateus",ES,Etanol,5.500,2026-06-03
"Locvan Transporte e Turismo LTDA","Rodovia Governador Mario Covas, 573","Vila Nova","São Mateus",ES,"Gasolina Aditivada",6.590,2026-01-15
"Locvan Transporte e Turismo LTDA","Rodovia Governador Mario Covas, 573","Vila Nova","São Mateus",ES,"Gasolina Comum",6.790,2026-06-03
"Macplan Auto Posto Sao Mateus LTDA","Rua Humberto Conde Rios, 39",Sernamby,"São Mateus",ES,"Diesel S-10",6.990,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA","Rua Humberto Conde Rios, 39",Sernamby,"São Mateus",ES,Etanol,5.490,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA","Rua Humberto Conde Rios, 39",Sernamby,"São Mateus",ES,"Gasolina Aditivada",6.690,2026-06-30
"Macplan Auto Posto Sao Mateus LTDA","Rua Humberto Conde Rios, 39",Sernamby,"São Mateus",ES,"Gasolina Comum",6.790,2026-06-30
"Posto Atual Sao Mateus LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Diesel S-10",6.690,2026-06-16
"Posto Atual Sao Mateus LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,Etanol,4.590,2026-06-16
"Posto Atual Sao Mateus LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Gasolina Comum",6.690,2026-06-16
"Posto Damiani LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Diesel Comum",6.990,2026-06-16
"Posto Damiani LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Diesel S-10",7.090,2026-06-16
"Posto Damiani LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,Etanol,5.490,2026-06-16
"Posto Damiani LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Gasolina Aditivada",6.890,2026-06-16
"Posto Damiani LTDA","Rua Monsenhor Guilherme Schimitz, 363",Sernamby,"São Mateus",ES,"Gasolina Comum",6.790,2026-06-16
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Rodovia BR-101 Norte, 921","Vila Nova","São Mateus",ES,"Diesel S-10",6.890,2026-05-28
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Rodovia BR-101 Norte, 921","Vila Nova","São Mateus",ES,Etanol,4.990,2026-06-03
"Posto de Combustiveis Ferrari Sao Mateus LTDA","Rodovia BR-101 Norte, 921","Vila Nova","São Mateus",ES,"Gasolina Comum",6.890,2026-06-03
"Posto Sd LTDA","Av. Governador Eurico Vieira de Rezende, 278","Guriri Norte","São Mateus",ES,"Diesel S-10",7.090,2026-05-13
"Posto Sd LTDA","Av. Governador Eurico Vieira de Rezende, 278","Guriri Norte","São Mateus",ES,"Gasolina Aditivada",6.890,2026-05-13
"Posto Sd LTDA","Av. Governador Eurico Vieira de Rezende, 278","Guriri Norte","São Mateus",ES,"Gasolina Comum",6.790,2026-05-13
